[01:13:19 AM]	=============== Start Trace ===============

[01:13:20 AM]	 === < SABER > Trace Start === 
[01:15:07 AM]	CNtlPLPropertyContainer::AddProp (258):  prop defined.(A_HMY_F_AD)
[01:15:29 AM]	CNtlPLVisualManager::GetHeightFieldWorldHeight (1170):  GetWorldHeight : Failed : IN(0,0,0), OUT_HEIGHT(-999)
[01:15:39 AM]	CNtlPLVisualManager::CreateEntity (688):  CNtlPLVisualManager::CreateEntity the property(.xml) find not(obj_06_kiri_impregnator)
[01:24:12 AM]	CNtlWorldShadow::LoadSwapFile (141):  file open failed. (11868_sec.sdw)
[01:24:12 AM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (11868_sec.objt)
[01:24:12 AM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (11868_sec.eff)
[01:24:12 AM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (11868_sec.ocq)
[01:24:12 AM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (11868_sec.hho)
[01:24:12 AM]	CNtlWorldShadow::LoadSwapFile (141):  file open failed. (11869_sec.sdw)
[01:24:12 AM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (11869_sec.objt)
[01:24:12 AM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (11869_sec.eff)
[01:24:12 AM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (11869_sec.ocq)
[01:24:12 AM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (11869_sec.hho)
[01:24:12 AM]	CNtlWorldShadow::LoadSwapFile (141):  file open failed. (11996_sec.sdw)
[01:24:12 AM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (11996_sec.objt)
[01:24:12 AM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (11996_sec.eff)
[01:24:12 AM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (11996_sec.ocq)
[01:24:12 AM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (11996_sec.hho)
[01:24:12 AM]	CNtlWorldShadow::LoadSwapFile (141):  file open failed. (11997_sec.sdw)
[01:24:12 AM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (11997_sec.objt)
[01:24:12 AM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (11997_sec.eff)
[01:24:12 AM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (11997_sec.ocq)
[01:24:12 AM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (11997_sec.hho)
[01:24:12 AM]	CNtlWorldShadow::LoadSwapFile (141):  file open failed. (12124_sec.sdw)
[01:24:12 AM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (12124_sec.objt)
[01:24:12 AM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (12124_sec.eff)
[01:24:12 AM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (12124_sec.ocq)
[01:24:12 AM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (12124_sec.hho)
[01:24:12 AM]	CNtlWorldShadow::LoadSwapFile (141):  file open failed. (12125_sec.sdw)
[01:24:12 AM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (12125_sec.objt)
[01:24:13 AM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (12125_sec.eff)
[01:24:13 AM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (12125_sec.ocq)
