[18:34:52 PM]	=============== Start Trace ===============

[18:34:53 PM]	 === < SABER > Trace Start === 
[19:04:39 PM]	CNtlPLPropertyContainer::AddProp (258):  prop defined.(A_HMY_F_AD)
[19:05:12 PM]	CNtlPLPropertyContainer::AddProp (258):  prop defined.(FRIEZARACE)
[19:07:39 PM]	CNtlPLVisualManager::GetHeightFieldWorldHeight (1170):  GetWorldHeight : Failed : IN(0,0,0), OUT_HEIGHT(-999)
[19:14:41 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7738_sec.objt)
[19:14:42 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7738_sec.eff)
[19:14:42 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7738_sec.ocq)
[19:14:42 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7738_sec.hho)
[19:14:43 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7739_sec.objt)
[19:14:43 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7739_sec.eff)
[19:14:43 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7739_sec.ocq)
[19:14:43 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7739_sec.hho)
[19:14:47 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7866_sec.objt)
[19:14:47 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7866_sec.eff)
[19:14:48 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7866_sec.ocq)
[19:14:48 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7866_sec.hho)
[19:14:50 PM]	CNtlPLVisualManager::CreateEntity (688):  CNtlPLVisualManager::CreateEntity the property(.xml) find not(obj_06_kiri_impregnator)
[19:14:51 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7867_sec.objt)
[19:14:51 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7867_sec.eff)
[19:14:51 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7867_sec.ocq)
[19:14:51 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7867_sec.hho)
[19:14:52 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7740_sec.objt)
[19:14:52 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7740_sec.eff)
[19:14:52 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7740_sec.ocq)
[19:14:52 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7740_sec.hho)
[19:14:52 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7741_sec.objt)
[19:14:52 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7741_sec.eff)
[19:14:52 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7741_sec.ocq)
[19:14:52 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7741_sec.hho)
[19:14:54 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7868_sec.objt)
[19:14:54 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7868_sec.eff)
[19:14:54 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7868_sec.ocq)
[19:14:54 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7868_sec.hho)
[19:14:54 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7869_sec.objt)
[19:14:54 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7869_sec.eff)
[19:14:54 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7869_sec.ocq)
[19:14:54 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7869_sec.hho)
[19:14:54 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7742_sec.objt)
[19:14:54 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7742_sec.eff)
[19:14:54 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7742_sec.ocq)
[19:14:54 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7742_sec.hho)
[19:14:54 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7743_sec.objt)
[19:14:54 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7743_sec.eff)
[19:14:54 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7743_sec.ocq)
[19:14:54 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7743_sec.hho)
[19:14:55 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7870_sec.objt)
[19:14:55 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7870_sec.eff)
[19:14:55 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7870_sec.ocq)
[19:14:55 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7870_sec.hho)
[19:14:55 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7871_sec.objt)
[19:14:55 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7871_sec.eff)
[19:14:55 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7871_sec.ocq)
[19:14:55 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7871_sec.hho)
[19:14:55 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7744_sec.objt)
[19:14:55 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7744_sec.eff)
[19:14:55 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7744_sec.ocq)
[19:14:55 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7744_sec.hho)
[19:14:56 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7745_sec.objt)
[19:14:56 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7745_sec.eff)
[19:14:56 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7745_sec.ocq)
[19:14:56 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7745_sec.hho)
[19:14:56 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7872_sec.objt)
[19:14:56 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7872_sec.eff)
[19:14:56 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7872_sec.ocq)
[19:14:56 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7872_sec.hho)
[19:14:57 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7873_sec.objt)
[19:14:57 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7873_sec.eff)
[19:14:57 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7873_sec.ocq)
[19:14:57 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7873_sec.hho)
[19:15:03 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7746_sec.objt)
[19:15:03 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7746_sec.eff)
[19:15:03 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7746_sec.ocq)
[19:15:03 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7746_sec.hho)
[19:15:06 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7747_sec.objt)
[19:15:07 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7747_sec.eff)
[19:15:07 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7747_sec.ocq)
[19:15:07 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7747_sec.hho)
[19:15:10 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7874_sec.objt)
[19:15:10 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7874_sec.eff)
[19:15:10 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7874_sec.ocq)
[19:15:10 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7874_sec.hho)
[19:15:11 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7875_sec.objt)
[19:15:12 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7875_sec.eff)
[19:15:12 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7875_sec.ocq)
[19:15:12 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7875_sec.hho)
[19:15:12 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7748_sec.objt)
[19:15:12 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7748_sec.eff)
[19:15:12 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7748_sec.ocq)
[19:15:12 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7748_sec.hho)
[19:15:13 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7749_sec.objt)
[19:15:13 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7749_sec.eff)
[19:15:13 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7749_sec.ocq)
[19:15:13 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7749_sec.hho)
[19:15:13 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7876_sec.objt)
[19:15:13 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7876_sec.eff)
[19:15:13 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7876_sec.ocq)
[19:15:13 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7876_sec.hho)
[19:15:15 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7877_sec.objt)
[19:15:15 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7877_sec.eff)
[19:15:15 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7877_sec.ocq)
[19:15:15 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7877_sec.hho)
[19:15:16 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7994_sec.objt)
[19:15:17 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7994_sec.eff)
[19:15:17 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7994_sec.ocq)
[19:15:17 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7994_sec.hho)
[19:15:17 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7995_sec.objt)
[19:15:17 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7995_sec.eff)
[19:15:17 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7995_sec.ocq)
[19:15:17 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7995_sec.hho)
[19:15:17 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8122_sec.objt)
[19:15:18 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8122_sec.eff)
[19:15:18 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8122_sec.ocq)
[19:15:18 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8122_sec.hho)
[19:15:18 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8123_sec.objt)
[19:15:18 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8123_sec.eff)
[19:15:18 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8123_sec.ocq)
[19:15:18 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8123_sec.hho)
[19:15:18 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7996_sec.objt)
[19:15:18 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7996_sec.eff)
[19:15:19 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7996_sec.ocq)
[19:15:19 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7996_sec.hho)
[19:15:19 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7997_sec.objt)
[19:15:19 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7997_sec.eff)
[19:15:19 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7997_sec.ocq)
[19:15:19 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7997_sec.hho)
[19:15:19 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8124_sec.objt)
[19:15:19 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8124_sec.eff)
[19:15:19 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8124_sec.ocq)
[19:15:19 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8124_sec.hho)
[19:15:19 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (8125_sec.objt)
[19:15:19 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8125_sec.eff)
[19:15:19 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8125_sec.ocq)
[19:15:19 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8125_sec.hho)
[19:15:20 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7998_sec.objt)
[19:15:20 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7998_sec.eff)
[19:15:20 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (7998_sec.ocq)
[19:15:20 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (7998_sec.hho)
[19:15:20 PM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (7999_sec.objt)
[19:15:20 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (7999_sec.eff)
