[00:57:13 AM]	 === < SABER > Log Start === 
[01:08:25 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\ntl.dds
[01:08:31 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_kinokon_grass_001.dds
[01:08:31 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_kinokon_stone_002.dds
[01:08:31 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_pornga_stone_003.dds
[01:08:31 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_yahhoie_road_001.dds
[01:08:31 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_kinokon_road_001.dds
[01:08:33 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_west_rock_001.dds
[01:08:34 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_west_grass_002.dds
[01:08:34 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_yahhoiw_snow_001.dds
[01:08:34 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_west_rock_002.dds
[01:08:34 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_west_road_001.dds
[01:08:40 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_west_gravel_001.dds
[01:08:40 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_west_stone_001.dds
[01:08:41 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_west_road_002.dds
[01:11:39 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_karin_grass_001.dds
[01:11:39 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_karin_stone_001.dds
[01:11:39 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_yahhoie_road_001.dds
[01:11:47 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_yahhoie_gravel_001.dds
[01:11:50 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_karin_stone_002.dds
[01:13:21 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_pornga_grass_001.dds
[01:13:21 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_pornga_stone_001.dds
[01:13:21 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_pornga_road_001.dds
[01:13:23 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_frann_sand_001.dds
[01:13:23 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_frann_stone_001.dds
[01:25:58 AM]	CNtlPLResourceManager::LoadTexture (634) : [ASSERT] the texture find not(2032)-C:\Users\Devin\Desktop\Development\dboclienttools-Tool/SABER/Texture/Grid Map/

