[01:32:50 AM]	 === < SABER > Log Start === 
[01:35:29 AM]	Mod Loaded: tool/saber/texture/ui/pstexbrush.png
[01:35:30 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\ntl.dds
[01:35:30 AM]	Mod Loaded: tool/saber/texture/ui/compass.png
[01:35:30 AM]	Mod Loaded: tool/saber/texture/ui/camerafield.png
[01:35:30 AM]	Mod Loaded: tool/saber/texture/ui/grid16x16.png
[01:35:30 AM]	Mod Loaded: tool/saber/texture/ui/mergerect.png
[01:35:30 AM]	Mod Loaded: tool/saber/texture/ui/tilerectangleprop.png
[01:35:30 AM]	Mod Loaded: tool/saber/texture/ui/tilerectangleselection.png
[01:35:30 AM]	Mod Loaded: tool/saber/texture/ui/previewframe.png
[01:35:36 AM]	Mod Loaded: tool/saber/texture/ui/grid1x1.png
[01:35:36 AM]	Mod Loaded: tool/saber/texture/ui/grid1x1_select.png
[01:35:36 AM]	Mod Loaded: tool/saber/texture/ui/grid_outline.png
[01:35:36 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_yahhoiw_grass_002.dds
[01:35:37 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_yahhoie_road_001.dds
[01:35:38 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_yahhoie_stone_002.dds
[01:35:38 AM]	Mod Loaded: c:\users\devin\desktop\development\dboclienttools\texture\ntlwe\tex_yahhoie_gravel_001.dds
